"PlotNumber","SiteUnit1","SiteUnit2","SiteUnit3","SiteUnit4","SiteUnit5","SiteUnit6","SiteUnit7","SiteUnit8","SiteUnit9","SiteUnit10","SiteUnit11"
"9133","SUPERCLASS Grassland/Brushland","CLASS Pseuspi (Warm(southern)  Grasslands/brushlands)","ORDER Hesperus - Achnanthum (20 series)","SUBORDER Arispur","Alliance Arispur",,"%Gs11 ASSOC Purstri-Arispur-Opunfra-Syntrur",,,,"BG  xh 1 /Gs11"
"K07-036","SUPERCLASS Grassland/Brushland","CLASS Pseuspi (Warm(southern)  Grasslands/brushlands)","ORDER Hesperus - Achnanthum (20 series)","SUBORDER Arispur","Alliance Arispur",,"%Gs11 ASSOC Purstri-Arispur-Opunfra-Syntrur",,,,"BG  xh 1 /Gs11"
"K07-038","SUPERCLASS Grassland/Brushland","CLASS Pseuspi (Warm(southern)  Grasslands/brushlands)","ORDER Hesperus - Achnanthum (20 series)","SUBORDER Arispur","Alliance Arispur",,"%Gs11 ASSOC Purstri-Arispur-Opunfra-Syntrur",,,,"BG  xh 1 /Gs11"
"02-0146","SUPERCLASS Grassland/Brushland","CLASS Pseuspi (Warm(southern)  Grasslands/brushlands)","ORDER Hesperus - Achnanthum (20 series)","SUBORDER Arispur","Alliance Arispur",,"?Gg26 ASSOC Arispur-Hespcom-Erigfil",,,,"IDF dh   /Gg26"
"K13-005","SUPERCLASS Grassland/Brushland","CLASS Pseuspi (Warm(southern)  Grasslands/brushlands)","ORDER Hesperus - Achnanthum (20 series)","SUBORDER Arispur","Alliance Arispur",,"?Gg26 ASSOC Arispur-Hespcom-Erigfil",,,,"PP  xh 1 /Gg26"
"Y780405","SUPERCLASS Grassland/Brushland","CLASS Pseuspi (Warm(southern)  Grasslands/brushlands)","ORDER Hesperus - Achnanthum (20 series)","SUBORDER Arispur","Alliance Arispur",,"?Gg26 ASSOC Arispur-Hespcom-Erigfil",,,,"IDF xx 1 /Gg26"
"9458","SUPERCLASS Grassland/Brushland","CLASS Pseuspi (Warm(southern)  Grasslands/brushlands)","ORDER Hesperus - Achnanthum (20 series)","SUBORDER Achnric-Hespcur (low 20s)","ALLIANCE Hespcur",,"%ASSOC Gg22 Achnric-Festsax-Antenar-Galibor",,,,"BG  xw 2 /Gg22a"
"9523048","SUPERCLASS Grassland/Brushland","CLASS Pseuspi (Warm(southern)  Grasslands/brushlands)","ORDER Hesperus - Achnanthum (20 series)","SUBORDER Achnric-Hespcur (low 20s)","ALLIANCE Hespcur",,"%ASSOC Gg22 Achnric-Festsax-Antenar-Galibor",,,,"BG  xw 2 /Gg22a"
"95K*078","SUPERCLASS Grassland/Brushland","CLASS Pseuspi (Warm(southern)  Grasslands/brushlands)","ORDER Hesperus - Achnanthum (20 series)","SUBORDER Achnric-Hespcur (low 20s)","ALLIANCE Hespcur",,"%ASSOC Gg22 Achnric-Festsax-Antenar-Galibor",,,,"BG  xw 2 /Gg22a"
"95K*066","SUPERCLASS Grassland/Brushland","CLASS Pseuspi (Warm(southern)  Grasslands/brushlands)","ORDER Hesperus - Achnanthum (20 series)","SUBORDER Achnric-Hespcur (low 20s)","ALLIANCE Hespcur",,"%ASSOC Gg22 Achnric-Festsax-Antenar-Galibor",,,,"BG  xw 2 /Gg22b"
"95KI047","SUPERCLASS Grassland/Brushland","CLASS Pseuspi (Warm(southern)  Grasslands/brushlands)","ORDER Hesperus - Achnanthum (20 series)","SUBORDER Achnric-Hespcur (low 20s)","ALLIANCE Hespcur",,"%ASSOC Gg22 Achnric-Festsax-Antenar-Galibor",,,,"BG  xw 2 /Gg22b"
"9413","SUPERCLASS Grassland/Brushland","CLASS Pseuspi (Warm(southern)  Grasslands/brushlands)","ORDER Hesperus - Achnanthum (20 series)","SUBORDER Achnric-Hespcur (low 20s)","ALLIANCE Hespcur",,"?Gg20 SUBASS Achnric-Festsax-Antenar/Cladoni(Hespcur)",,,,"IDF xm   /Gg20"
"95RC*22","SUPERCLASS Grassland/Brushland","CLASS Pseuspi (Warm(southern)  Grasslands/brushlands)","ORDER Hesperus - Achnanthum (20 series)","SUBORDER Achnric-Hespcur (low 20s)","ALLIANCE Hespcur",,"?Gg20 SUBASS Achnric-Festsax-Antenar/Cladoni(Hespcur)",,,,"IDF xm   /Gg20"
"BREC012","SUPERCLASS Grassland/Brushland","CLASS Pseuspi (Warm(southern)  Grasslands/brushlands)","ORDER Hesperus - Achnanthum (20 series)","SUBORDER Achnric-Hespcur (low 20s)","ALLIANCE Hespcur",,"?Gg20 SUBASS Achnric-Festsax-Antenar/Cladoni(Hespcur)",,,,"IDF xm   /Gg20"
"9523066","SUPERCLASS Grassland/Brushland","CLASS Pseuspi (Warm(southern)  Grasslands/brushlands)","ORDER Hesperus - Achnanthum (20 series)","SUBORDER Achnric-Hespcur (low 20s)","ALLIANCE Hespcur",,"ASSOC Gg21Achnric-Festsax-Antenar-Cladoni","SUBASS Gg21 Achnric-Festsax-Antenar/Cladoni(typic)",,,"IDF xm   /Gg21b"
"R003033","SUPERCLASS Grassland/Brushland","CLASS Pseuspi (Warm(southern)  Grasslands/brushlands)","ORDER Hesperus - Achnanthum (20 series)","SUBORDER Achnric-Hespcur (low 20s)","ALLIANCE Hespcur",,"ASSOC Gg21Achnric-Festsax-Antenar-Cladoni","SUBASS Gg21 Achnric-Festsax-Antenar/Cladoni(typic)",,,"IDF xm   /Gg21b"
"R303782","SUPERCLASS Grassland/Brushland","CLASS Pseuspi (Warm(southern)  Grasslands/brushlands)","ORDER Hesperus - Achnanthum (20 series)","SUBORDER Achnric-Hespcur (low 20s)","ALLIANCE Hespcur",,"ASSOC Gg21Achnric-Festsax-Antenar-Cladoni","SUBASS Gg21 Achnric-Festsax-Antenar/Cladoni(typic)",,,"IDF xm   /Gg21b"
"9414","SUPERCLASS Grassland/Brushland","CLASS Pseuspi (Warm(southern)  Grasslands/brushlands)","ORDER Hesperus - Achnanthum (20 series)","SUBORDER Achnric-Hespcur (low 20s)","ALLIANCE Hespcur",,"ASSOC Gg21Achnric-Festsax-Antenar-Cladoni","SUBASS Gg21 Achnric-Festsax-Antenar/Cladoni(typic)",,,"IDF xm   /Gg21a"
"9523011","SUPERCLASS Grassland/Brushland","CLASS Pseuspi (Warm(southern)  Grasslands/brushlands)","ORDER Hesperus - Achnanthum (20 series)","SUBORDER Achnric-Hespcur (low 20s)","ALLIANCE Hespcur",,"ASSOC Gg21Achnric-Festsax-Antenar-Cladoni","SUBASS Gg21 Achnric-Festsax-Antenar/Cladoni(typic)",,,"IDF xm   /Gg21a"
"9523046","SUPERCLASS Grassland/Brushland","CLASS Pseuspi (Warm(southern)  Grasslands/brushlands)","ORDER Hesperus - Achnanthum (20 series)","SUBORDER Achnric-Hespcur (low 20s)","ALLIANCE Hespcur",,"ASSOC Gg21Achnric-Festsax-Antenar-Cladoni","SUBASS Gg21 Achnric-Festsax-Antenar/Cladoni(typic)",,,"IDF xm   /Gg21a"
"95K*085","SUPERCLASS Grassland/Brushland","CLASS Pseuspi (Warm(southern)  Grasslands/brushlands)","ORDER Hesperus - Achnanthum (20 series)","SUBORDER Achnric-Hespcur (low 20s)","ALLIANCE Hespcur",,"ASSOC Gg21Achnric-Festsax-Antenar-Cladoni","SUBASS Gg21 Achnric-Festsax-Antenar/Cladoni(typic)",,,"IDF xm   /Gg21a"
"95K*117","SUPERCLASS Grassland/Brushland","CLASS Pseuspi (Warm(southern)  Grasslands/brushlands)","ORDER Hesperus - Achnanthum (20 series)","SUBORDER Achnric-Hespcur (low 20s)","ALLIANCE Hespcur",,"ASSOC Gg21Achnric-Festsax-Antenar-Cladoni","SUBASS Gg21 Achnric-Festsax-Antenar/Cladoni(typic)",,,"IDF xm   /Gg21a"
"95K*119","SUPERCLASS Grassland/Brushland","CLASS Pseuspi (Warm(southern)  Grasslands/brushlands)","ORDER Hesperus - Achnanthum (20 series)","SUBORDER Achnric-Hespcur (low 20s)","ALLIANCE Hespcur",,"ASSOC Gg21Achnric-Festsax-Antenar-Cladoni","SUBASS Gg21 Achnric-Festsax-Antenar/Cladoni(typic)",,,"IDF xm   /Gg21a"
"95KI105","SUPERCLASS Grassland/Brushland","CLASS Pseuspi (Warm(southern)  Grasslands/brushlands)","ORDER Hesperus - Achnanthum (20 series)","SUBORDER Achnric-Hespcur (low 20s)","ALLIANCE Hespcur",,"ASSOC Gg21Achnric-Festsax-Antenar-Cladoni","SUBASS Gg21 Achnric-Festsax-Antenar/Cladoni(typic)",,,"IDF xm   /Gg21a"
"95RC*20","SUPERCLASS Grassland/Brushland","CLASS Pseuspi (Warm(southern)  Grasslands/brushlands)","ORDER Hesperus - Achnanthum (20 series)","SUBORDER Achnric-Hespcur (low 20s)","ALLIANCE Hespcur",,"ASSOC Gg21Achnric-Festsax-Antenar-Cladoni","SUBASS Gg21 Achnric-Festsax-Antenar/Cladoni(typic)",,,"IDF xm   /Gg21a"
"964131","SUPERCLASS Grassland/Brushland","CLASS Pseuspi (Warm(southern)  Grasslands/brushlands)","ORDER Hesperus - Achnanthum (20 series)","SUBORDER Achnric-Hespcur (low 20s)","ALLIANCE Hespcur",,"ASSOC Gg21Achnric-Festsax-Antenar-Cladoni","SUBASS Gg21 Achnric-Festsax-Antenar/Cladoni(typic)",,,"IDF xm   /Gg21a"
"964135","SUPERCLASS Grassland/Brushland","CLASS Pseuspi (Warm(southern)  Grasslands/brushlands)","ORDER Hesperus - Achnanthum (20 series)","SUBORDER Achnric-Hespcur (low 20s)","ALLIANCE Hespcur",,"ASSOC Gg21Achnric-Festsax-Antenar-Cladoni","SUBASS Gg21 Achnric-Festsax-Antenar/Cladoni(typic)",,,"IDF xm   /Gg21a"
"R104782","SUPERCLASS Grassland/Brushland","CLASS Pseuspi (Warm(southern)  Grasslands/brushlands)","ORDER Hesperus - Achnanthum (20 series)","SUBORDER Achnric-Hespcur (low 20s)","ALLIANCE Hespcur",,"ASSOC Gg21Achnric-Festsax-Antenar-Cladoni","SUBASS Gg21 Achnric-Festsax-Antenar/Cladoni(typic)",,,"IDF xm   /Gg21a"
"R213781","SUPERCLASS Grassland/Brushland","CLASS Pseuspi (Warm(southern)  Grasslands/brushlands)","ORDER Hesperus - Achnanthum (20 series)","SUBORDER Achnric-Hespcur (low 20s)","ALLIANCE Hespcur",,"ASSOC Gg21Achnric-Festsax-Antenar-Cladoni","SUBASS Gg21 Achnric-Festsax-Antenar/Cladoni(typic)",,,"IDF xm   /Gg21a"
